DX_CLASS,ICD9_CD_NODOT,ICD9_CD,ICD10_CD_NODOT,ICD10_CD,ICD9_LDESC,ICD10_LDESC,LIST,sort
Anxiety Disorder,30981,309.81,F4311,F43.11,Posttraumatic stress disorder,"Post-traumatic stress disorder, acute",10,0
Anxiety Disorder,30981,309.81,F4312,F43.12,Posttraumatic stress disorder,"Post-traumatic stress disorder, chronic",9,0
Attention Deficit Disorder,31400,314,F909,F90.9,Attention deficit disorder without mention of hyperactivity,"Attention-deficit hyperactivity disorder, unspecified type",9,0
Attention Deficit Disorder,31401,314.01,F900,F90.0,Attention deficit disorder with hyperactivity,"Attention-deficit hyperactivity disorder, predominantly inattentive type",9,0
Attention Deficit Disorder,31401,314.01,F901,F90.1,Attention deficit disorder with hyperactivity,"Attention-deficit hyperactivity disorder, predominantly hyperactive type",9,0
Attention Deficit Disorder,31401,314.01,F902,F90.2,Attention deficit disorder with hyperactivity,"Attention-deficit hyperactivity disorder, combined type",9,0
Attention Deficit Disorder,31401,314.01,F908,F90.8,Attention deficit disorder with hyperactivity,"Attention-deficit hyperactivity disorder, other type",10,0
Attention Deficit Disorder,31401,314.01,F909,F90.9,Attention deficit disorder with hyperactivity,"Attention-deficit hyperactivity disorder, unspecified type",9,0
Attention Deficit Disorder,3141,314.1,F908,F90.8,Hyperkinesis with developmental delay,"Attention-deficit hyperactivity disorder, other type",9,0
Attention Deficit Disorder,3142,314.2,F908,F90.8,Hyperkinetic conduct disorder,"Attention-deficit hyperactivity disorder, other type",9,0
Attention Deficit Disorder,3148,314.8,F908,F90.8,Other specified manifestations of hyperkinetic syndrome,"Attention-deficit hyperactivity disorder, other type",9,0
Attention Deficit Disorder,3149,314.9,F909,F90.9,Unspecified hyperkinetic syndrome,"Attention-deficit hyperactivity disorder, unspecified type",9,0
Autism Spectrum Disorder,29900,299,F840,F84.0,"Autistic disorder, current or active state",Autistic disorder,9,0
Autism Spectrum Disorder,29901,299.01,F840,F84.0,"Autistic disorder, residual state",Autistic disorder,9,0
Autism Spectrum Disorder,29980,299.8,F845,F84.5,"Other specified pervasive developmental disorders, current or active state",Asperger's syndrome,9,0
Autism Spectrum Disorder,29980,299.8,F848,F84.8,"Other specified pervasive developmental disorders, current or active state",Other pervasive developmental disorders,9,0
Autism Spectrum Disorder,29981,299.81,F845,F84.5,"Other specified pervasive developmental disorders, residual state",Asperger's syndrome,9,0
Autism Spectrum Disorder,29981,299.81,F848,F84.8,"Other specified pervasive developmental disorders, residual state",Other pervasive developmental disorders,9,0
Autism Spectrum Disorder,29990,299.9,F849,F84.9,"Unspecified pervasive developmental disorder, current or active state","Pervasive developmental disorder, unspecified",9,0
Autism Spectrum Disorder,29991,299.91,F849,F84.9,"Unspecified pervasive developmental disorder, residual state","Pervasive developmental disorder, unspecified",9,0
Bipolar Spectrum Disorder,2960,296,,,,,,
Bipolar Spectrum Disorder,29601,296.01,,,,,,
Bipolar Spectrum Disorder,29602,296.02,,,,,,
Bipolar Spectrum Disorder,29603,296.03,,,,,,
Bipolar Spectrum Disorder,29604,296.04,,,,,,
Bipolar Spectrum Disorder,29605,296.05,,,,,,
Bipolar Spectrum Disorder,29606,296.06,,,,,,
Bipolar Spectrum Disorder,29610,296.1,F3010,F30.10,"Manic affective disorder, recurrent episode, unspecified","Manic episode without psychotic symptoms, unspecified",9,0
Bipolar Spectrum Disorder,29611,296.11,F3011,F30.11,"Manic affective disorder, recurrent episode, mild","Manic episode without psychotic symptoms, mild",9,0
Bipolar Spectrum Disorder,29612,296.12,F3012,F30.12,"Manic affective disorder, recurrent episode, moderate","Manic episode without psychotic symptoms, moderate",9,0
Bipolar Spectrum Disorder,29613,296.13,F3013,F30.13,"Manic affective disorder, recurrent episode, severe, without mention of psychotic behavior","Manic episode, severe, without psychotic symptoms",9,0
Bipolar Spectrum Disorder,29614,296.14,F302,F30.2,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior","Manic episode, severe with psychotic symptoms",9,0
Bipolar Spectrum Disorder,29615,296.15,F303,F30.3,"Manic affective disorder, recurrent episode, in partial or unspecified remission",Manic episode in partial remission,9,0
Bipolar Spectrum Disorder,29616,296.16,F304,F30.4,"Manic affective disorder, recurrent episode, in full remission",Manic episode in full remission,9,0
Bipolar Spectrum Disorder,29640,296.4,F310,F31.0,"Bipolar I disorder, most recent episode (or current) manic, unspecified","Bipolar disorder, current episode hypomanic",10,0
Bipolar Spectrum Disorder,29640,296.4,F3110,F31.10,"Bipolar I disorder, most recent episode (or current) manic, unspecified","Bipolar disorder, current episode manic without psychotic features, unspecified",9,0
Bipolar Spectrum Disorder,29640,296.4,F3189,F31.89,"Bipolar I disorder, most recent episode (or current) manic, unspecified",Other bipolar disorder,10,0
Bipolar Spectrum Disorder,29641,296.41,F3111,F31.11,"Bipolar I disorder, most recent episode (or current) manic, mild","Bipolar disorder, current episode manic without psychotic features, mild",9,0
Bipolar Spectrum Disorder,29642,296.42,F3112,F31.12,"Bipolar I disorder, most recent episode (or current) manic, moderate","Bipolar disorder, current episode manic without psychotic features, moderate",9,0
Bipolar Spectrum Disorder,29643,296.43,F3113,F31.13,"Bipolar I disorder, most recent episode (or current) manic, severe, without mention of psychotic behavior","Bipolar disorder, current episode manic without psychotic features, severe",9,0
Bipolar Spectrum Disorder,29644,296.44,F312,F31.2,"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","Bipolar disorder, current episode manic severe with psychotic features",9,0
Bipolar Spectrum Disorder,29645,296.45,F3173,F31.73,"Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission","Bipolar disorder, in partial remission, most recent episode manic",9,0
Bipolar Spectrum Disorder,29646,296.46,F3174,F31.74,"Bipolar I disorder, most recent episode (or current) manic, in full remission","Bipolar disorder, in full remission, most recent episode manic",9,0
Bipolar Spectrum Disorder,29650,296.5,F3130,F31.30,"Bipolar I disorder, most recent episode (or current) depressed, unspecified","Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",9,0
Bipolar Spectrum Disorder,29651,296.51,F3131,F31.31,"Bipolar I disorder, most recent episode (or current) depressed, mild","Bipolar disorder, current episode depressed, mild",9,0
Bipolar Spectrum Disorder,29652,296.52,F3132,F31.32,"Bipolar I disorder, most recent episode (or current) depressed, moderate","Bipolar disorder, current episode depressed, moderate",9,0
Bipolar Spectrum Disorder,29653,296.53,F314,F31.4,"Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior","Bipolar disorder, current episode depressed, severe, without psychotic features",9,0
Bipolar Spectrum Disorder,29654,296.54,F315,F31.5,"Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior","Bipolar disorder, current episode depressed, severe, with psychotic features",9,0
Bipolar Spectrum Disorder,29655,296.55,F3175,F31.75,"Bipolar I disorder, most recent episode (or current) depressed, in partial or unspecified remission","Bipolar disorder, in partial remission, most recent episode depressed",9,0
Bipolar Spectrum Disorder,29656,296.56,F3176,F31.76,"Bipolar I disorder, most recent episode (or current) depressed, in full remission","Bipolar disorder, in full remission, most recent episode depressed",9,0
Bipolar Spectrum Disorder,29660,296.6,F3160,F31.60,"Bipolar I disorder, most recent episode (or current) mixed, unspecified","Bipolar disorder, current episode mixed, unspecified",9,0
Bipolar Spectrum Disorder,29661,296.61,F3161,F31.61,"Bipolar I disorder, most recent episode (or current) mixed, mild","Bipolar disorder, current episode mixed, mild",9,0
Bipolar Spectrum Disorder,29662,296.62,F3162,F31.62,"Bipolar I disorder, most recent episode (or current) mixed, moderate","Bipolar disorder, current episode mixed, moderate",9,0
Bipolar Spectrum Disorder,29663,296.63,F3163,F31.63,"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","Bipolar disorder, current episode mixed, severe, without psychotic features",9,0
Bipolar Spectrum Disorder,29664,296.64,F3164,F31.64,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","Bipolar disorder, current episode mixed, severe, with psychotic features",9,0
Bipolar Spectrum Disorder,29665,296.65,F3177,F31.77,"Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission","Bipolar disorder, in partial remission, most recent episode mixed",9,0
Bipolar Spectrum Disorder,29666,296.66,F3178,F31.78,"Bipolar I disorder, most recent episode (or current) mixed, in full remission","Bipolar disorder, in full remission, most recent episode mixed",9,0
Bipolar Spectrum Disorder,2967,296.7,F3170,F31.70,"Bipolar I disorder, most recent episode (or current) unspecified","Bipolar disorder, currently in remission, most recent episode unspecified",10,0
Bipolar Spectrum Disorder,2967,296.7,F3171,F31.71,"Bipolar I disorder, most recent episode (or current) unspecified","Bipolar disorder, in partial remission, most recent episode hypomanic",10,0
Bipolar Spectrum Disorder,2967,296.7,F3172,F31.72,"Bipolar I disorder, most recent episode (or current) unspecified","Bipolar disorder, in full remission, most recent episode hypomanic",10,0
Bipolar Spectrum Disorder,2967,296.7,F319,F31.9,"Bipolar I disorder, most recent episode (or current) unspecified","Bipolar disorder, unspecified",9,0
Bipolar Spectrum Disorder,29680,296.8,F319,F31.9,"Bipolar disorder, unspecified","Bipolar disorder, unspecified",9,0
Bipolar Spectrum Disorder,29681,296.81,F308,F30.8,Atypical manic disorder,Other manic episodes,9,0
Bipolar Spectrum Disorder,29689,296.89,F3181,F31.81,Other bipolar disorders,Bipolar II disorder,9,0
Conduct/Disruptive behavior/Opp. Defiant,31281,312.81,F911,F91.1,"Conduct disorder, childhood onset type","Conduct disorder, childhood-onset type",9,0
Conduct/Disruptive behavior/Opp. Defiant,31282,312.82,F912,F91.2,"Conduct disorder, adolescent onset type","Conduct disorder, adolescent-onset type",9,0
Conduct/Disruptive behavior/Opp. Defiant,31289,312.89,F910,F91.0,Other conduct disorder,Conduct disorder confined to family context,10,0
Conduct/Disruptive behavior/Opp. Defiant,31289,312.89,F918,F91.8,Other conduct disorder,Other conduct disorders,9,0
Conduct/Disruptive behavior/Opp. Defiant,3129,312.9,F919,F91.9,Unspecified disturbance of conduct,"Conduct disorder, unspecified",9,0
Conduct/Disruptive behavior/Opp. Defiant,31381,313.81,F913,F91.3,Oppositional defiant disorder,Oppositional defiant disorder,9,0
Dementia,2900,290,F0390,F03.90,"Senile dementia, uncomplicated",Unspecified dementia without behavioral disturbance,9,0
Dementia,29010,290.1,F0390,F03.90,"Presenile dementia, uncomplicated",Unspecified dementia without behavioral disturbance,9,0
Dementia,29011,290.11,F0390,F03.90,Presenile dementia with delirium,Unspecified dementia without behavioral disturbance,9,0
Dementia,29012,290.12,F0390,F03.90,Presenile dementia with delusional features,Unspecified dementia without behavioral disturbance,9,0
Dementia,29012,290.12,F05,F05,Presenile dementia with delusional features,Delirium due to known physiological condition,9,0
Dementia,29013,290.13,F0390,F03.90,Presenile dementia with depressive features,Unspecified dementia without behavioral disturbance,9,0
Dementia,29020,290.2,F0390,F03.90,Senile dementia with delusional features,Unspecified dementia without behavioral disturbance,9,0
Dementia,29020,290.2,F05,F05,Senile dementia with delusional features,Delirium due to known physiological condition,9,0
Dementia,29021,290.21,F0390,F03.90,Senile dementia with depressive features,Unspecified dementia without behavioral disturbance,9,0
Dementia,2903,290.3,F0390,F03.90,Senile dementia with delirium,Unspecified dementia without behavioral disturbance,9,0
Dementia,2903,290.3,F05,F05,Senile dementia with delirium,Delirium due to known physiological condition,9,0
Dementia,29040,290.4,F0150,F01.50,"Vascular dementia, uncomplicated",Vascular dementia without behavioral disturbance,9,0
Dementia,29041,290.41,F0151,F01.51,"Vascular dementia, with delirium",Vascular dementia with behavioral disturbance,9,0
Dementia,29042,290.42,F0151,F01.51,"Vascular dementia, with delusions",Vascular dementia with behavioral disturbance,9,0
Dementia,29043,290.43,F0151,F01.51,"Vascular dementia, with depressed mood",Vascular dementia with behavioral disturbance,9,0
Dementia,2908,290.8,F0390,F03.90,Other specified senile psychotic conditions,Unspecified dementia without behavioral disturbance,9,0
Dementia,2909,290.9,F0390,F03.90,Unspecified senile psychotic condition,Unspecified dementia without behavioral disturbance,9,0
Dementia,78093,780.93,R411,R41.1,Memory loss,Anterograde amnesia,10,0
Dementia,78093,780.93,R412,R41.2,Memory loss,Retrograde amnesia,9,0
Dementia,78093,780.93,R413,R41.3,Memory loss,Other amnesia,9,0
Depressive Disorder,29620,296.2,F329,F32.9,"Major depressive affective disorder, single episode, unspecified","Major depressive disorder, single episode, unspecified",9,0
Depressive Disorder,29621,296.21,F320,F32.0,"Major depressive affective disorder, single episode, mild","Major depressive disorder, single episode, mild",9,0
Depressive Disorder,29622,296.22,F321,F32.1,"Major depressive affective disorder, single episode, moderate","Major depressive disorder, single episode, moderate",9,0
Depressive Disorder,29623,296.23,F322,F32.2,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior","Major depressive disorder, single episode, severe without psychotic features",9,0
Depressive Disorder,29624,296.24,F323,F32.3,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior","Major depressive disorder, single episode, severe with psychotic features",9,0
Depressive Disorder,29625,296.25,F324,F32.4,"Major depressive affective disorder, single episode, in partial or unspecified remission","Major depressive disorder, single episode, in partial remission",9,0
Depressive Disorder,29626,296.26,F325,F32.5,"Major depressive affective disorder, single episode, in full remission","Major depressive disorder, single episode, in full remission",9,0
Depressive Disorder,29630,296.3,F3340,F33.40,"Major depressive affective disorder, recurrent episode, unspecified","Major depressive disorder, recurrent, in remission, unspecified",10,0
Depressive Disorder,29630,296.3,F339,F33.9,"Major depressive affective disorder, recurrent episode, unspecified","Major depressive disorder, recurrent, unspecified",9,0
Depressive Disorder,29631,296.31,F330,F33.0,"Major depressive affective disorder, recurrent episode, mild","Major depressive disorder, recurrent, mild",9,0
Depressive Disorder,29632,296.32,F331,F33.1,"Major depressive affective disorder, recurrent episode, moderate","Major depressive disorder, recurrent, moderate",9,0
Depressive Disorder,29633,296.33,F332,F33.2,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior","Major depressive disorder, recurrent severe without psychotic features",9,0
Depressive Disorder,29634,296.34,F333,F33.3,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior","Major depressive disorder, recurrent, severe with psychotic symptoms",9,0
Depressive Disorder,29635,296.35,F3341,F33.41,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission","Major depressive disorder, recurrent, in partial remission",9,0
Depressive Disorder,29636,296.36,F3342,F33.42,"Major depressive affective disorder, recurrent episode, in full remission","Major depressive disorder, recurrent, in full remission",9,0
Depressive Disorder,29682,296.82,F328,F32.8,Atypical depressive disorder,Other depressive episodes,9,0
Depressive Disorder,2980,298,F323,F32.3,Depressive type psychosis,"Major depressive disorder, single episode, severe with psychotic features",9,0
Depressive Disorder,2980,298,F333,F33.3,Depressive type psychosis,"Major depressive disorder, recurrent, severe with psychotic symptoms",9,0
Depressive Disorder,3004,300.4,F341,F34.1,Dysthymic disorder,Dysthymic disorder,9,0
Depressive Disorder,30112,301.12,F341,F34.1,Chronic depressive personality disorder,Dysthymic disorder,9,0
Depressive Disorder,3090,309,F4321,F43.21,Adjustment disorder with depressed mood,Adjustment disorder with depressed mood,9,0
Depressive Disorder,3091,309.1,F4321,F43.21,Prolonged depressive reaction,Adjustment disorder with depressed mood,9,0
Depressive Disorder,30928,309.28,F4323,F43.23,Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with mixed anxiety and depressed mood,9,0
Depressive Disorder,311,311,F329,F32.9,"Depressive disorder, not elsewhere classified","Major depressive disorder, single episode, unspecified",9,0
Eating Disorder,3071,307.1,F5000,F50.00,Anorexia nervosa,"Anorexia nervosa, unspecified",9,0
Eating Disorder,3071,307.1,F5001,F50.01,Anorexia nervosa,"Anorexia nervosa, restricting type",10,0
Eating Disorder,3071,307.1,F5002,F50.02,Anorexia nervosa,"Anorexia nervosa, binge eating/purging type",10,0
Eating Disorder,30750,307.5,F509,F50.9,"Eating disorder, unspecified","Eating disorder, unspecified",9,0
Eating Disorder,30751,307.51,F502,F50.2,Bulimia nervosa,Bulimia nervosa,9,0
Eating Disorder,30754,307.54,F508,F50.8,Psychogenic vomiting,Other eating disorders,9,0
Eating Disorder,30759,307.59,F508,F50.8,Other disorders of eating,Other eating disorders,9,0
Eating Disorder,30759,307.59,F9829,F98.29,Other disorders of eating,Other feeding disorders of infancy and early childhood,9,0
Eating Disorder,7830,783,R630,R63.0,Anorexia,Anorexia,9,0
Eating Disorder,V691,V69.1,Z724,Z72.4,Inappropriate diet and eating habits,Inappropriate diet and eating habits,9,0
Other Psychosis,2971,297.1,F22,F22,Delusional disorder,Delusional disorders,9,0
Other Psychosis,2973,297.3,F24,F24,Shared psychotic disorder,Shared psychotic disorder,9,0
Other Psychosis,2984,298.4,F23,F23,Psychogenic paranoid psychosis,Brief psychotic disorder,9,0
Other Psychosis,2988,298.8,F23,F23,Other and unspecified reactive psychosis,Brief psychotic disorder,9,0
Other Psychosis,2989,298.9,F28,F28,Unspecified psychosis,Other psychotic disorder not due to a substance or known physiological condition,10,0
Other Psychosis,2989,298.9,F29,F29,Unspecified psychosis,Unspecified psychosis not due to a substance or known physiological condition,9,0
Other Psychosis,30122,301.22,F21,F21,Schizotypal personality disorder,Schizotypal disorder,9,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Personality disorder,301,301,F60,F60,Personality disorders,Specific personality disorders,,
Personality disorder,301,301,F60.0,F600,Paranoid personality disorder,Paranoid personality disorder,,
Personality disorder,301.1,3011,F60.89,F6089,Affective personality disorder,Other specific personality disorders,,
Personality disorder,301.1,3011,F60.89,F6089,"Affective personality disorder, unspecified",Other specific personality disorders,,
Personality disorder,301.2,3012,F60.1,F601,Schizoid personality disorder,Schizoid personality disorder,,
Personality disorder,301.3,3013,F60.89,F6089,Explosive personality disorder,Other specific personality disorders,,
Personality disorder,301.4,3014,F60.5,F605,Obsessive-compulsive personality disorder,Obsessive-compulsive personality disorder,,
Personality disorder,301.5,3015,F60.4,F604,Histrionic personality disorder,Histrionic personality disorder,,
Personality disorder,301.6,3016,F60.7,F607,Dependent personality disorder,Dependent personality disorder,,
Personality disorder,301.7,3017,F60.2,F602,Antisocial personality disorder,Antisocial personality disorder,,
Personality disorder,301.8,3018,F60.8,F608,Other personality disorders,Other specific personality disorders,,
Personality disorder,301.9,3019,F60.9,F609,Unspecified personality disorder,"Personality disorder, unspecified",,
Personality disorder,301.11,30111,F60.89,F6089,Chronic hypomanic personality disorder,Other specific personality disorders,,
Personality disorder,301.12,30112,F60.89,F6089,Chronic depressive personality disorder,Other specific personality disorders,,
Personality disorder,301.13,30113,F60.89,F6089,Cyclothymic disorder ,Other specific personality disorders,,
Personality disorder,301.21,30121,F60.89,F6089,Introverted personality ,Other specific personality disorders,,
Personality disorder,301.22,30122,F60.89,F6089,Schizotypal personality disorder,Other specific personality disorders,,
Personality disorder,301.51,30151,F60.4,F604,Chronic factitious illness with physical symptoms,Histrionic personality disorder,,
Personality disorder,301.59,30159,F60.4,F604,Other histrionic personality disorder,Histrionic personality disorder,,
Personality disorder,301.81,30181,F60.81,F6081,Narcissistic personality disorder,Narcissistic personality disorder,,
Personality disorder,301.82,30182,F60.6,F606,Avoidant personality disorder,Avoidant personality disorder,,
Personality disorder,301.83,30183,F60.3,F603,Borderline personality disorder ,Borderline personality disorder,,
Personality disorder,301.84,30184,F60.89,F6089,Passive-aggressive personality,Other specific personality disorders,,
Personality disorder,301.89,30189,F60.89,F6089,Other specific personality disorders,Other specific personality disorders,,
Possibly Self-Inflicted Injury,E9800,E98.00,NoDx,NoD.x,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9800,E98.00,T39014A,T39.014A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by aspirin, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T39094A,T39.094A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by salicylates, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T391X4A,T39.1X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T392X4A,T39.2X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by pyrazolone derivatives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T39314A,T39.314A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by propionic acid derivatives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T39394A,T39.394A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T394X4A,T39.4X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by antirheumatics, not elsewhere classified, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T398X4A,T39.8X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T3994XA,T39.94XA,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T400X4A,T40.0X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by opium, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T401X4A,T40.1X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by heroin, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T402X4A,T40.2X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by other opioids, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T403X4A,T40.3X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by methadone, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9800,E98.00,T404X4A,T40.4X4A,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted","Poisoning by other synthetic narcotics, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9801,E98.01,NoDx,NoD.x,"Poisoning by barbiturates, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9801,E98.01,T423X4A,T42.3X4A,"Poisoning by barbiturates, undetermined whether accidentally or purposely inflicted","Poisoning by barbiturates, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9802,E98.02,NoDx,NoD.x,"Poisoning by other sedatives and hypnotics, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9802,E98.02,T407X4A,T40.7X4A,"Poisoning by other sedatives and hypnotics, undetermined whether accidentally or purposely inflicted","Poisoning by cannabis (derivatives), undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9802,E98.02,T408X4A,T40.8X4A,"Poisoning by other sedatives and hypnotics, undetermined whether accidentally or purposely inflicted","Poisoning by lysergide [LSD], undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9802,E98.02,T40904A,T40.904A,"Poisoning by other sedatives and hypnotics, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified psychodysleptics [hallucinogens], undetermined, initial encounter",10,1
